periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
ACTUAL,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,23.61,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,22.72,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Pucallpa,24.58,2026-04-01,
ACTUAL,LMG,Huanuco - Tingo Maria - Pucallpa,24.2,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Tingo Maria - Pucallpa,22.01,2026-04-01,
ACTUAL,HECARO,Motupe,24.57,2026-04-01,
ACTUAL,QOLPARO,Motupe,22.7,2026-04-01,
ACTUAL,HECARO,Piura,23.61,2026-04-01,
ACTUAL,LMG,Piura,24.13,2026-04-01,
ACTUAL,QOLPARO,Piura,21.52,2026-04-01,
ACTUAL,HECARO,Pucallpa,26.68,2026-04-01,
ACTUAL,LMG,Pucallpa,26.84,2026-04-01,
ACTUAL,QOLPARO,Pucallpa,23.89,2026-04-01,
ACTUAL,HECARO,Trujillo,27.39,2026-04-01,
ACTUAL,LMG,Trujillo,27.13,2026-04-01,
ACTUAL,QOLPARO,Trujillo,16.21,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Cajamarca,17.69,2026-04-01,
ACTUAL,HECARO,Trujillo - Chiclayo,19.17,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Chiclayo,16.17,2026-04-01,
ACTUAL,HECARO,Trujillo - Piura,31.63,2026-04-01,
ACTUAL,LMG,Trujillo - Piura,21.93,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Piura,21.52,2026-04-01,
